family_id,choice_0,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,n_people
0,52,38,12,82,33,75,64,76,10,28,4
1,26,4,82,5,11,47,38,6,66,61,4
2,100,54,25,12,27,82,10,89,80,33,3
3,2,95,1,96,32,6,40,31,9,59,2
4,53,1,47,93,26,3,46,16,42,39,4
5,32,59,12,3,60,26,35,50,5,2,4
6,88,4,1,3,91,32,39,57,28,99,2
7,25,11,52,48,10,17,88,50,95,66,5
8,18,60,1,12,89,33,16,10,53,67,4
9,1,88,39,50,26,18,96,47,46,28,7
10,96,92,8,5,67,12,57,34,80,46,7
11,19,75,39,44,2,68,53,89,7,94,7
12,52,98,53,1,39,67,87,24,65,95,6
13,54,52,25,53,1,60,10,12,11,57,2
14,45,25,34,38,88,16,1,4,89,29,2
15,22,4,82,10,5,58,75,1,18,94,2